video_id,comment_id,author,parent
pHSb00vip60,UgzbFdDPxyVgpQOn9oN4AaABAg,@LiênNgôThịNgọc-v1r,
pHSb00vip60,Ugws3dzVfyYejoL1Xgp4AaABAg,@CuongLe-tx2he,
pHSb00vip60,UgxRTbQkufw7rOejlNt4AaABAg,@KhaNguyen-lj8oi,
pHSb00vip60,Ugym1nI4JuN3j3kBTQR4AaABAg,@ThanhDuoc1995,
pHSb00vip60,UgznHHEFZGKkuEb4cDp4AaABAg,@duyzro2334,
pHSb00vip60,UgzuYDRT7DV6PX0y5st4AaABAg,@Túkiller2009,
pHSb00vip60,UgzllfPv9-bv1mcslXB4AaABAg,@tiếnnguyễn5505-f9h,
pHSb00vip60,UgwS4al8rS0OKtSmFzp4AaABAg,@Côgái1m65,
pHSb00vip60,UgxfnRdcCU2vnU6e22J4AaABAg,@ngockhanhho9766,
pHSb00vip60,UgxjGvaSSISyQM_aMhF4AaABAg,@NhuNguyen-e7e1g,
pHSb00vip60,Ugw4OI3pCRm5I0Yfk3p4AaABAg,@nguyenminhphat6786,
pHSb00vip60,Ugxd8FH_gPfOeq_Ua4V4AaABAg,@LongLý-c1q4m,
pHSb00vip60,Ugy6qU6jZc76PlGKgdV4AaABAg,@quangtruong8453,
pHSb00vip60,Ugy7Rn5kZxMyxzo9BqJ4AaABAg,@TiênaĐồng-w3d,
pHSb00vip60,UgyQ-CVfZBDc_Edo_It4AaABAg,@ThảomyNguyễn-q8y,
pHSb00vip60,UgzMO6a8bzwf_uOvO-14AaABAg,@ThắngNguyễn-b4j,
pHSb00vip60,UgwKBgBsXMsuLCHj-Bd4AaABAg,@Tansangtranduy,
pHSb00vip60,UgyMSuBkrvjbAj7dJ4V4AaABAg,@VietnamRobloxPhongcách,
pHSb00vip60,UgygF_BuxIej2WsjkkB4AaABAg,@hanhmy6300,
pHSb00vip60,UgxN054I7Qm4zlcC7v94AaABAg,@TamNguyen-wz2yq,
pHSb00vip60,UgzY7Cfkg3orucfy6Qx4AaABAg,@AnMỹ-b3j5f,
pHSb00vip60,Ugx4XuqKtlfWf6soYyh4AaABAg,@ThuAnh-bu5tn,
pHSb00vip60,UgwfcWuQFpsrK64khBN4AaABAg,@HồngNguyễn-x5h8h,
pHSb00vip60,UgzxoImq0_x5PG2ML4V4AaABAg,@haimom1155,
pHSb00vip60,UgwmsdA0xw9fpOnQzDZ4AaABAg,@nguyenviet-f2z,
pHSb00vip60,UgytbRIqGeFOQDcQ5fZ4AaABAg,@oanhmai2408,
pHSb00vip60,Ugx6MpANgTKybjjfBOV4AaABAg,@ThanhTuyenLamThi,
pHSb00vip60,UgxzBxTg3E8h0T9XQbx4AaABAg,@VIVIDTDD-f5i,
pHSb00vip60,Ugww4wwpdLcDFKj7eCZ4AaABAg,@SangPham-u6d,
pHSb00vip60,Ugy4JVRVw5_nVlhNZMd4AaABAg,@SangPham-u6d,
pHSb00vip60,UgxMBE6p3_8ojAZODut4AaABAg,@宁宁贵红,
pHSb00vip60,UgwBaRbHLp0vDWcswtJ4AaABAg,@KUPPITV,
pHSb00vip60,UgyU-ZcnQ9HuDhY7Agp4AaABAg,@fan_gundam,
pHSb00vip60,Ugymf2K9HOLN3E3zP-14AaABAg,@HonMotMinh,
pHSb00vip60,Ugxk4zVLtlkSIuSva7Z4AaABAg,@Nganga1710,
pHSb00vip60,UgzERKTmanqdGNxsqpl4AaABAg,@QuangPhu-z7w,
pHSb00vip60,UgwDrjUERrEfl3of6R14AaABAg,@ThủyThanh-l7h,
pHSb00vip60,UgwwuRIdL9DF-CLVSlN4AaABAg,@QuânLý-w8l5j,
pHSb00vip60,Ugx1toNrk-dHgPq9-jt4AaABAg,@thanhnguyenhuu7166,
pHSb00vip60,Ugym0LObICek8oa1TfB4AaABAg,@nusinyovlog2324,
pHSb00vip60,UgyeAZq3_y4gnOq4vnB4AaABAg,@huyennguyen-cb9hn,
pHSb00vip60,Ugz5IcLr51bLex2Flpp4AaABAg,@NguyênTên-u2y,
pHSb00vip60,Ugy3jC9WY3GyTOkNWGN4AaABAg,@Moneyy113,
pHSb00vip60,UgxcWQWUz_Nrr8dseXh4AaABAg,@DuyenNguyen-yt1ii,
pHSb00vip60,UgxY0-cP9NXvoozh9ed4AaABAg,@baohanneee,
