source,target,weight
@HuyLeo203,@baoo9285,1
@HuyLeo203,@boxadmin243,1
@HuyLeo203,@cuongnguyen6805,1
@HuyLeo203,@dungpham-tb3ii,1
@HuyLeo203,@hoasamthi9428,1
@HuyLeo203,@khamphavungbien86,1
@HuyLeo203,@ngantranthibich6374,1
@HuyLeo203,@nguoisinhton167,1
@HuyLeo203,@nguyenquoctrongcr,1
@HuyLeo203,@nguyentatluandanny,2
@HuyLeo203,@nht1823,1
@HuyLeo203,@quoctrungnguyen1670,1
@HuyLeo203,@sg9999-v8h,1
@HuyLeo203,@trieutam7844,1
@HuyLeo203,@tuanductran4546,1
@HuyLeo203,@vyhoa6397,1
@HuyNguyen-su2di,@ongtan6354,1
@HuyPhạm-j2p4q,@the.anh.1238,1
@HuyenLe-lg7bf,@XuyenLe-t2q,1
@HuyenNguyen-nu2kz,@My0000-q6z,1
@HuyenNguyen-nu2kz,@phamnguyennhuquynh3296,1
@HuyenNguyen-nu2kz,@trangchannel3293,1
@HuỳnhTubevlogs,@Baonam-0512,1
@HuỳnhTubevlogs,@KietNguyen-js1wv,1
@HuỳnhTubevlogs,@lehong3790,1
@HuỳnhTubevlogs,@philogiv,1
@Hàngbãigiátốt,@HàLê-s1w,1
@Hàngbãigiátốt,@Naomi23-sd3,1
@Hàngbãigiátốt,@Nguyenthao-ek9sj,1
@Hàngbãigiátốt,@TuanAnhNguyen-fv3wz,1
@Hàngbãigiátốt,@aoduong8335,1
@Hàngbãigiátốt,@khango1374,1
@Hàngbãigiátốt,@kientran-cu1tj,1
@Hàngbãigiátốt,@minhhnhatt01,1
@Hàngbãigiátốt,@nganpham4819,1
@Hàngbãigiátốt,@nguyengia1254,2
@Hàngbãigiátốt,@nguyenthimyhau7362,1
@Hàngbãigiátốt,@tienphamtv4008,1
@HânMỹ-y5y,,1
@HùngNguyễnTiến-r2c1u,@kydkj1778,1
@HạnhNguyênQuách,@HoangThinh-ToHi,1
@HạnhNguyênQuách,@ThiệnPhước-u2l,1
@Hậu-xS,@MaiDuong-r2c,1
@HồngTươi-c6r,@Lamchanhuy335,1
@Ilovehutao.123,@NguyenHuy-or1sq,1
@Ilyu3zvanq,@Cattuong-ne,1
@IsacLienghot,@HoaiLinhNgo-r8h,1
@Iồnnnnn-f2u,@NgHiếu_13,1
@Jahhuy,@MyLê-w3q,1
@JaneTransn,@phbichduyen0457,1
@JourneysandJots,@NguyenDuyKhangg,1
@Karr_Tun,@mychau2486,1
@KatarinaDeathLotusLethalTempo,@TuyếtÁnh-o7y,1
@KatarinaDeathLotusLethalTempo,@soloadventure8x,1
@KeyK700,@nguyensanhkhoii5745,1
@Kffjfjfjc,@PhuocCap-n2f,1
@Khacuckeo,@truongkhokhao8590,1
@KhaiDinh-j5d4k,@shopkennyj97,1
@KhangHoàng-u6c,@Mp-if3tg,1
@KhangNguyễn-x8e,@TườngNguyễnLâm-o8d,1
@KhangNguyễn-x8e,@hoadao-p8j,1
@KhangNguyễn-x8e,@octiiuskyz3485,1
@KhangYoutube88,@fanchihannguyen,1
@KhanhNguyen-ep2cu,@groupausencon1930,1
@KhanhTran-lz7cr,@trile899,1
@Khanhver2,@nguyencongdoanh2004,1
@KhiDLu-tk2lg,@tienming8345,1
@KhoaNguyen-yz4gl,@vanvinhk5,1
@KhoaNguyenDan,@rikka-cp9829,1
@KhoaTrinh-mf1se,,1
@KhoiPhung-kw7wi,@TIEN-HUY,1
@KhoiPhung-kw7wi,@smolpp2773,1
@Khuvuonhanhphuc,@the.anh.1238,1
@KhánhMaru-xyz,@KẹoYeuu-w2z,1
@KhảiMinh-d1t,@Diepnhikhucvlog,1
@KietKero_Gamer,,1
@KietKero_Gamer,@BT.ANIME2004,1
@KietKero_Gamer,@TrâmThị-m5f,1
@KietKero_Gamer,@bequan7321,1
@KietKero_Gamer,@bvnvlog4169,1
@KietKero_Gamer,@chankieu6010,1
@KietKero_Gamer,@duyanhtran8554,1
@KietKero_Gamer,@inhthibangtam1077,1
@KietKero_Gamer,@namgaming3308,1
@KietKero_Gamer,@tronghoangnguyen9148,1
@KietKero_Gamer,@vothitruclinh1460,1
@KietNguyen-lj6xc,@123hihi-d3t,1
@KietNguyen-ms8gl,@ThựcPhạm-h1u,1
@KieuHuy-w5i,@quocbaoduong9589,1
@KimNganTran-2310,@NhatCapital,1
@KiệtLu-g7r,@28trongminh87,1
@Kkk-d7p,@C2K-BTN0207,1
@LLT_CML,@NgânNguyễn-s1b9m,1
@LTN122,@PhátNguyễn-r5j9f,1
@LamHồng-k1s,@Pandateddy,1
@LapThanh-cv7ig,@BéDiên-4,1
@LazgtrDuong,@NamVo-g5s,1
@LeKhoi-gk,@nghialu9017,1
@LePhu-tg6uk,@PhongĐại-h3b,1
@LePhu-tg6uk,@weisnguyen2489,1
@LeQuangNhan-A,@nguyensanhkhoii5745,1
@LeThanhAn-pq3gi,@Triao-ti2tx,2
@LeTrong60DN,@vanthaonguyen8640,1
@Ledieu1010,@LQTee,1
@LeinhTatA,@luois2th5,1
@LinhGia-t8f,@teoemvlog-N7,1
@LinhTran-ow4fn,@TaiTran-e2g,1
@LinhTrần-i6s,@hunglethanh7517,1
@Linhle-yq8hx,@ngocan9x,1
@LizC-vz1bj,@groupausencon1930,1
@LiênNguyễn-j9c,@athuynh792,1
@LiênNguyễn-j9c,@quochaily-ep1tx,1
@LongAnh-1232,@CafeCao-d9u,1
@LongHoang-nv8is,@TruonqqNguyenn,1
@LongLe-kp8ek,@nghiatathanhdanh,1
@Long_640,@JskJsjs-qy2ft,1
@Longytbrs,@Lamchanhuy335,1
@Luong_Ng799,@phucvu1411,1
@LuyếnNguyễnvăn-s7s9p,@BảoThế-e6p,1
@LuyếnNguyễnvăn-s7s9p,@LoMi-l5f,1
@LyBé-j6y,@Diepnhikhucvlog,1
@Làngcủatôi,@tienphamtv4008,1
@LâmBùo-d7n4g,@vongocphu7642,1
@LâmNguyễn-i2h,@behailethi2950,1
@Lâmobaoloc,@casautv2990,1
@LộcHoàng-g9n6z,@lpmusic8d833,1
@MOBAKIMOCHI,@GiaGia2415,1
@MOBAKIMOCHI,@HuyLeo203,1
@MOBAKIMOCHI,@VũVũ-t3t4i,1
@MOBAKIMOCHI,@binguyen39799,1
@MOBAKIMOCHI,@tinhphamvan742,1
@MaiThom5794,@Nguoivuive1234,1
@ManhTruong-x7o3c,@manhdomino7771,2
@Manhcuonnng2110,@HoangNguyen-xd5ls,2
@Meodamdang,@Huongnguyenlt,1
@Meodamdang,@Reviewxaloo,1
@Miendoipho,@keith.daniels,1
@MikuNakano-gr9ve,@binhthanh899,2
@MinhHoàng-i6q,@khoaleanh656,1
@MinhNguyen-xq6bn,@DuongDuong-cover,1
@MinhNguyen-xq6bn,@FCSONTUNGMTP0,1
@MinhPhúc-o9t,@NguyenDat14827,1
@MinhThư-i6i,@ongtan6354,1
@Minhbac-zq3bp,,1
@MinhhoLi-q1w,@truongson9861,1
@Minhlain,@NghiaChinh-gy6pc,1
@Minhthuan94,@EhbSgb,1
@MinhucNgoTruong,@trangchannel3293,1
@Miu.miuuu.,@KẹoYeuu-w2z,1
@MobileDe-z3r,@ThếTrần-j7j,1
@MobileQuốcđạt-w4j,@MyLê-w3q,1
@Mrtans0907,@hoanganhtran8161,1
@MuzikWon-o8f,@BảoThế-e6p,1
@MuzikWon-o8f,@nguyenhuutinh1159,1
@My2610Khanh,@VanvinhTruong-d2m,1
@MyHà-f7y,@HungTran-vi1jm,1
@MyNguyen-ug5bl,@PhuocCap-n2f,1
@MyNguyen-ug5bl,@YukiSwRblx,1
@MyNguyen-ug5bl,@tangamin4775,1
@MyNguyen-ug5bl,@thinhphu83,1
@MyNguyen-ug5bl,@tungvlog4756,1
@MyPhan-ez6tg,@NghiaChinh-gy6pc,1
@MyPhan-ez6tg,@PhuongNguyen-hp3ek,1
@Mymy.twinkling,@F22RapTor-Sidewinder,1
@Mymy.twinkling,@Nguoivuive1234,1
@Mymy.twinkling,@TamNguyen93dt,1
@Mymy.twinkling,@taythaiviet9436,1
@Mymy.twinkling,@ucHieuTran-lb5en,1
@MãiTrầncông-l1e,@manhdomino7771,1
@NHDVlogs1332000,@PhucHuynh-d7q,1
@Nam-sr3ew,@binhhoang9495,1
@NamNguyen-rl34,@Ngoccdth,1
@NamThạch-k3k,@idkroblox2010,1
@NgNgoc.00,@GDHOANGCHALLENG,1
@NgNhi_20,@phuctoan674,2
@NgaThanh-i8x,@TâmVõMinh-o8m,1
@NgaVan-b7o,@HoangTran-bn5yd,1
@Ngheoviluhuongrong,@HàHợp-j2f,1
@Ngheoviluhuongrong,@Singleridervn,1
@Ngheoviluhuongrong,@tienming8345,1
@NghiNguyễn-q8z,@Chemms123,1
@NghiaChinh-gy6pc,@hoangkhoilevo8974,1
@NgocAnh-n3s7v,@khanhoanho6214,1
@NgocAnhNguyen-vn8gq,@ongsonguyen1394,1
@NgocNguyen-cf1tj,@boomieesnguyen3634,2
@NgocNguyen-lc6mg,@LienPham-b7v,1
@NgocSangTranThi-gg8wn,@tuthien-y4k,1
@Ngocchau-206,@QuyenVungoc-n2b,1
@Ngochanneeee,@CậuÚt36,1
@Ngonlinh00,@KhangDuy-x3p,1
@Nguoivuive1234,@HieuTran-wn7rp,1
@Nguoivuive1234,@Wyvu,1
@Nguoivuive1234,@dangtho8073,3
@Nguoivuive1234,@dlpigmie354,1
@Nguoivuive1234,@groupausencon1930,1
@Nguoivuive1234,@hunglethanh7517,2
@Nguoivuive1234,@huyphan9957,1
@Nguoivuive1234,@kieunghineee,1
@NguyenAn-xr4rk,@LâmBùo-d7n4g,1
@NguyenHieu-qn8ou,@Cacon-k9,1
@NguyenHieu-qn8ou,@DatTan-w1q,1
@NguyenHieu-qn8ou,@HoangNguyen-xd5ls,1
@NguyenHieu-qn8ou,@LyLich-w2i,1
@NguyenHieu-qn8ou,@LâmthịngọcThúy,1
@NguyenHieu-qn8ou,@NhatNguyenvan-on6uz,1
@NguyenHieu-qn8ou,@cuongnguyen6805,1
@NguyenHieu-qn8ou,@ehpnha09,1
@NguyenHieu-qn8ou,@haru_6571,1
@NguyenHoang-zz9bh,@banhxeo007,1
@NguyenMeo-x7t,@vivutv4416,1
@NguyenNgoc-jl4zg,@phamduyofficial7680,1
@Nguyenminhluan009,@LinhNguyen-s4m4v,1
@Nguyentran26-10,@28trongminh87,1
@Nguyentran26-10,@asobolo666,1
@Nguyentran26-10,@kunquan161,1
@NguyênTrần-d2t,@NghiaChinh-gy6pc,1
@Nguyễn-9-6,@huanminh5555,1
@NguyễnNhựtKhánh-u3w,@phucvu1411,1
@NguyễnTrầnTríDũng,@shlling01,1
@NgânNgân-q9w,@khoitn7209,1
@NgọcGiaHânVõ-f6o,@nguyentien-h8o,1
@NgọcToànNguyễn-z3n,,1
@NgọcÁnhPhan-k4t,@phucvu1411,1
@NhaCaiChauDoc88,@quốckhâm-z9s,1
@NhaCaiChauDoc88,@tienphamtv4008,1
@Nhan-Hoang,@TomPCxThienPhu,1
@NhanNguyen23263,@manuciansnvb9357,1
@NhanhTrầnthị-s6m,@TuyếtTrần-d5b,1
@Nhathochanhtoa,@khoiho262,1
@Nhatkysinhtontv,,1
@Nhatkysinhtontv,@NguyễnthịKiềudiễm-m1m,1
@Nhatkysinhtontv,@ThươngTrươnghoài-n4n,1
@Nhatkysinhtontv,@TilPhạmKimLít,1
@Nhatkysinhtontv,@momentfunny2229,2
@Nhatkysinhtontv,@quangy7283,1
@Nhatkysinhtontv,@returnleader,2
@Nhatkysinhtontv,@tenanhlatuan8,1
@Nhatkysinhtontv,@vietthuongle,1
@Nhatkysinhtontv,@ĐạtPhạm-g9u,1
@Nhd105_dd,@KhangVu-e1i,1
@NhiYen-29066,@LinhKa-e7f,1
@NhiYen-29066,@MOBAKIMOCHI,1
@NhiYen-29066,@Singleridervn,1
@NhiYến-e1d2e,@LQTee,1
@Nhngoctran,@lamhoang4559,1
@NhungNguyen-ld3nb,@nhut1909,1
@NhânNguyễnTrungNhân-j3k,@VyTuong-ig5pv,1
@NhãNguyễnThanh-t1l,@TaiLezx,1
@NhưNguyễn-o5v3l,@huanminh5555,1
@Nicckasang1928,@MinhpreGamer,1
@NoName-fg1er,@TamNguyen-tg7kb,1
@Nonoliveee,@thaithai8774,1
@NoobNooper,@PhúLêHoàng-i4d,1
@NươngVũ-r3x,@minhphuongnguyentran,1
@Ongtrumlq2006,@MauTuyet-o1m,1
@PHÚCHOÀI-w1b,@thaithanhnguyenngoc8428,1
@PTApro2006,@thanhydayy3756,1
@ParisP2706,@luonqtans2,1
@Pdcpham2k2,@ntk2407,1
@PeppaHàiHướcOfficial,@luonqtans2,1
@PevilaoPevilao,@taihuu7559,1
@PhaNguyen-j3e,@Nguyenvu-c7,1
@PhatHung-u7p,@VanvinhTruong-d2m,1
@PhatTruong-fh2cq,@duyenmytran624,1
@Phi...1234,@bobobo1238,1
@PhiBưởiDaXanh,@kuocnguyentivi,1
@PhiBưởiDaXanh,@xuanquocnguyen8103,1
@PhiHoTVj,@Hoangnguyen00,1
@PhongHOANG-ke3nf,@ThiHuongMai-d1v1t,1
@PhongHOANG-ke3nf,@thaithanhnguyenngoc8428,1
@PhongNguyen-g9e2l,@GiàuPhạm-n1b,1
@PhongNguyễn-k1n,@octiiuskyz3485,1
@PhongNhãNguyễn-g9x,@Reviewxaloo,1
@PhongPham-hq4pu,,4
@PhongThế-p1d,@Nguyenthihienthuong1003,1
@PhongThế-p1d,@ThantKanh,1
@PhongTran-q6r,@hoangthanhtra21,1
@PhongTrần-y9l4w,@GiaGia2415,2
@PhucGaming2105,,1
@PhucTran-es1pc,,1
@Phuc_Mai,@DatDoTien-f1b,1
@PhuocHong-ud3nn,@MobileRealme-md4lb,1
@PhuongLai-x1k,@tthien.og6,1
@PhuongNguyen-oz1mp,@casautv2990,1
@PhuongNguyen.16-1gl,@ChanhVo-nu3rj,1
@Phuong_69CM,@90UnclePi,1
@PhátLộcTrần-c6c,@thanhminh1331,1
@PlayGaming557,@TaiLezx,1
@PoVv-n7u,,2
@Ptt0209,@Philvp3,1
@Ptt0209,@thanongtoanhoc4424,1
@PureAccyoutube,@niubhling4942,1
@Qrazz2828,@hoabantaybac959,1
@QuangHải-p9y,@Diepnhikhucvlog,1
@QuangNguyen-kq6xm,@Thịtchónướcmắm,1
@QuangThuậnNguyễn-y1r,@ddhvlog3438,1
@Quangbeso,@hnganh24vlog89,1
@Quanzuno,@YếnĐặng-x7w,1
@Quanzuno,@ab125fi,1
@Quanzuno,@nghialu9017,1
@QuiNguyen-pr6uu,@thaothanh7526,1
@Quisenpai,@trinhcong1010,1
@Quisenpaiz,@NgọcLinh-t3d,1
@QuocNguyenvan-h7d,@MyLê-w3q,1
@QuyTran-kq9sr,@DuyenCam-zy3zf,1
@QuynhAnhPh-pq5il,@ThoaHo30,1
@QuynhNguyenalexa,@hoangggminhhhdeptrai,1
@QuyênNguyễn-m5p1x,@bobobo1238,1
@QuyênTrương-k4r,@NvHieu1102,1
@QuyênTrương-k4r,@cuongnguyen6805,1
@QuốcVinhNguyễn-e8v,@phuctoan674,1
@QuỳnhDanh-x5e,@Naomi23-sd3,1
@RaiKu-l7x,@phampham5178,1
@Rinz4203,@hoangthanhtra21,1
@SNMH09,@LLT_CML,1
@SangBùiThanh-l9z,,1
@SangNguyen-hy3op,@LienNguyen-iw1rj,1
@SeiKa2111,@tuthien-y4k,1
@Sirminman,@muhahahe2899,1
@Sirminman,@nguyenvietthanh501,1
@Sirminman,@shia_2406,1
@Son-Hmin,@TienLe-ns2fu,2
@SonSam-j5l,@TháiNgu-e2l,1
@SvbsLalakumma,@NghiaChinh-gy6pc,1
@SơnLê-m6r1c,@ynhicti2811,1
@SơnLêbăngsơn-z6k,@thangtranviet414,1
@SầuVôLệ-66,@tranhinh7910,1
@T.hung2712,@HoangThinh-ToHi,1
@TTBD71294,@BinhVothanh-j6o,1
@TTT-un4ee,@groupausencon1930,1
@TVTiny-qk7kq,@fanchihannguyen,1
@TaiNguyenvan-zo7wl,@banhxeo007,1
@TaiPham-uq6qf,@FCSONTUNGMTP0,1
@Taianhs1327,@HuỳnhTubevlogs,1
