Address,Area,Frontage,Access Road,Floors,Bedrooms,Bathrooms,Legal status,Furniture state,Price,City,District,Area_bin,Area_bin_order,Frontage_bin,Frontage_bin_order,Access_Road_bin,Access_Road_bin_order,Floors_bin,Floors_bin_order,Bedrooms_bin,Bedrooms_bin_order,Bathrooms_bin,Bathrooms_bin_order,Total_Room,Total_Room_bin,Total_Room_order
"Đường Mỗ Lao, Phường Văn Quán, Hà Đông, Hà Nội",33.0,4.4,5.0,5.0,1,1,Have certificate,Basic,4.95,Hà Nội,Hà Đông,20–40,1,4–6,2,3–5,2,5–7,3,1–2,1,1–2,1,2,2–4,1
"Đường Tố Hữu, Phường Yên Nghĩa, Hà Đông, Hà Nội",34.0,4.0,2.0,4.0,3,3,Sale contract,Full,2.9,Hà Nội,Hà Đông,20–40,1,2–4,1,2–3,1,3–4,2,3–4,2,3–4,2,6,5–7,2
"Dự án Đông Tăng Long, Đường Nguyễn Duy Trinh, Phường Trường Thạnh, Quận 9, Hồ Chí Minh",100.0,20.0,12.0,3.0,4,5,Have certificate,Basic,6.5,Hồ Chí Minh,Quận 9,80–120,4,12–20,5,lớn hơn 9,5,3–4,2,3–4,2,5–8,3,9,8–11,3
"Dự án Phú Mỹ Estates, Đường Hắc Dịch - Tóc Tiên, Phường Hắc Dịch, Phú Mỹ, Bà Rịa Vũng Tàu",85.0,5.0,8.0,4.0,4,6,Have certificate,No furnishings,4.2,Bà Rịa Vũng Tàu,Phú Mỹ,80–120,4,4–6,2,7–9,4,3–4,2,3–4,2,5–8,3,10,8–11,3
"D16/22/ ấp 4b, Xã Vĩnh Lộc B, Bình Chánh, Hồ Chí Minh",56.0,5.0,5.0,1.0,1,1,Sale contract,No furnishings,2.7,Hồ Chí Minh,Bình Chánh,40–60,2,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Dự án Waterpoint, Đường Tỉnh lộ 824, Xã An Thạnh, Bến Lức, Long An",90.0,6.0,12.0,2.0,3,3,Sale contract,No furnishings,5.5,Long An,Bến Lức,80–120,4,4–6,2,lớn hơn 9,5,1–2,1,3–4,2,3–4,2,6,5–7,2
"Dự án D-Aqua, Đường Bến Bình Đông, Phường 14, Quận 8, Hồ Chí Minh",58.0,4.4,5.0,1.0,1,1,Sale contract,Basic,4.61,Hồ Chí Minh,Quận 8,40–60,2,4–6,2,3–5,2,1–2,1,1–2,1,1–2,1,2,2–4,1
"Hẻm 350, Đường Nguyễn Văn Lượng, Phường 16, Gò Vấp, Hồ Chí Minh",50.4,4.4,5.0,3.0,4,4,Have certificate,Basic,3.75,Hồ Chí Minh,Gò Vấp,40–60,2,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,8,8–11,3
"Hẻm 36/ Bình Giã, Phường 13, Tân Bình, Hồ Chí Minh",54.0,4.4,5.0,3.0,4,4,Have certificate,Full,4.3,Hồ Chí Minh,Tân Bình,40–60,2,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,8,8–11,3
"HXH 330/, Đường Phan Đình Phùng, Phường 1, Phú Nhuận, Hồ Chí Minh",57.4,4.4,5.0,3.0,3,2,Have certificate,Basic,4.05,Hồ Chí Minh,Phú Nhuận,40–60,2,4–6,2,3–5,2,3–4,2,3–4,2,1–2,1,5,5–7,2
"Số 9 ngõ 197, Đường Lâm Du, Phường Bồ Đề, Long Biên, Hà Nội",56.0,3.82,2.5,5.0,6,5,Have certificate,Full,6.5,Hà Nội,Long Biên,40–60,2,2–4,1,2–3,1,5–7,3,5–8,3,5–8,3,11,8–11,3
"Đường Lộc Hậu, Xã Mỹ Lộc, Cần Giuộc, Long An",151.0,4.0,6.0,2.0,4,3,Have certificate,Full,3.2,Long An,Cần Giuộc,120–160,5,2–4,1,5–7,3,1–2,1,3–4,2,3–4,2,7,5–7,2
"Đường Nguyễn Thượng Hiền, Phường 5, Bình Thạnh, Hồ Chí Minh",51.75,4.5,6.0,4.0,4,5,Have certificate,No furnishings,9.2,Hồ Chí Minh,Bình Thạnh,40–60,2,4–6,2,5–7,3,3–4,2,3–4,2,5–8,3,9,8–11,3
"Dự án Melosa Garden, Đường Vành Đai Trong, Phường Phú Hữu, Quận 9, Hồ Chí Minh",115.0,5.0,12.0,3.0,4,4,Sale contract,Full,9.55,Hồ Chí Minh,Quận 9,80–120,4,4–6,2,lớn hơn 9,5,3–4,2,3–4,2,3–4,2,8,8–11,3
"Phường 11, Tân Bình, Hồ Chí Minh",55.0,4.5,5.0,3.0,1,1,Sale contract,No furnishings,6.8,Hồ Chí Minh,Tân Bình,40–60,2,4–6,2,3–5,2,3–4,2,1–2,1,1–2,1,2,2–4,1
"Hẻm 47/, Đường Nguyễn Văn Đậu, Phường 6, Bình Thạnh, Hồ Chí Minh",56.25,4.5,5.0,3.0,4,3,Have certificate,Basic,4.29,Hồ Chí Minh,Bình Thạnh,40–60,2,4–6,2,3–5,2,3–4,2,3–4,2,3–4,2,7,5–7,2
"30/2, Đường Số 47, Phường Hiệp Bình Chánh, Thủ Đức, Hồ Chí Minh",65.0,4.4,5.0,2.0,3,3,Sale contract,No furnishings,4.0,Hồ Chí Minh,Thủ Đức,60–80,3,4–6,2,3–5,2,1–2,1,3–4,2,3–4,2,6,5–7,2
"Đường Lê Văn Quới, Phường Bình Trị Đông A, Bình Tân, Hồ Chí Minh",80.0,8.0,8.0,5.0,5,6,Sale contract,No furnishings,6.5,Hồ Chí Minh,Bình Tân,60–80,3,6–8,3,7–9,4,5–7,3,5–8,3,5–8,3,11,8–11,3
"Phố Yên Duyên, Phường Yên Sở, Hoàng Mai, Hà Nội",33.0,3.0,2.0,5.0,3,4,Have certificate,Full,4.48,Hà Nội,Hoàng Mai,20–40,1,2–4,1,2–3,1,5–7,3,3–4,2,3–4,2,7,5–7,2
"Đường Nguyễn Đình Chính, Phường 11, Phú Nhuận, Hồ Chí Minh",38.0,4.2,6.0,4.0,3,4,Have certificate,Full,6.78,Hồ Chí Minh,Phú Nhuận,20–40,1,4–6,2,5–7,3,3–4,2,3–4,2,3–4,2,7,5–7,2
"Dự án Ny'ah Bình Tây, Đường Nguyễn Văn Luông, Phường 11, Quận 6, Hồ Chí Minh",42.0,3.5,5.0,3.0,2,4,Have certificate,No furnishings,6.5,Hồ Chí Minh,Quận 6,40–60,2,2–4,1,3–5,2,3–4,2,1–2,1,3–4,2,6,5–7,2
"Đường Trần Quang Diệu, Phường 14, Quận 3, Hồ Chí Minh",43.5,4.4,2.0,4.0,3,4,Have certificate,Basic,6.2,Hồ Chí Minh,Quận 3,40–60,2,4–6,2,2–3,1,3–4,2,3–4,2,3–4,2,7,5–7,2
"189/16, Đường Lý Thái Tổ, Phường 9, Quận 10, Hồ Chí Minh",23.9,3.5,5.0,2.0,2,2,Sale contract,No furnishings,4.2,Hồ Chí Minh,Quận 10,20–40,1,2–4,1,3–5,2,1–2,1,1–2,1,1–2,1,4,2–4,1
